Descripción*;Grupo terapéutico
ELIXIFILIN ;R03DA
ELIXIR DENTAL ;A01AB
ELLAONE ;G03AD
ELMUFILINA BARBITON ;R03DB
ELMUTEN ;A13AA
ELOCOM ;D07AC
ELOCOM PLUS ;D07XC
ELOISIN ;S01XA
ELONTRIL ;N06AX
ELONVA;G03GA
ELORGAN ;C04AD
ELOSALIC ;D07XC
ELOVENT TWISTHALER;R03BA
ELOXATIN ;L01XA
ELUDRIL ;A01AB
ELUMATIC III 1 GENERADOR ;V09FX
ELUSANES ALCACHOFA ;A05AB
ELUSANES BARDANA ;A16AX
ELUSANES ESPINO ALBAR ;N05CM
ELUSANES FRESNO ;A16AX
ELUSANES MAIZ ;A16AX
ELUSANES ORTOSIFON ;A16AX
ELUSANES TE VERDE ;N06BC
ELUSANES VALERIANA ;N05CM
ELUSANES VELLOSILLA ;V03AX
EMADINE ;S01GX
EMBROCACION GRAS ;M02AC
EMCONCOR;C07AB
EMCONCOR COR ;C07AB
EMCORETIC ;C07BB
EMEND ;A04AD
EMENOVISTER ;G03FB
EMEPROTON ;A02BC
EMICAN ;R03CC
EMLA CREMA ;N01BB
EMLA PARCHES;N01BB
EMOLYTAR ;D05AA
EMOTIVAL ;C01BB
EMOVATE ;D07AB
EMPAPOL ;D03AX
EMPORTAL ;A06AD
EMTHEXATE ;L01BA
EMTRIVA ;J05AF
EMULIQUEN ANTIESPASMODIC;A06AX
EMULIQUEN LAXANTE;A06AA
EMULIQUEN SIMPLE ;A06AA
ENALAPRIL ;C09AA
ENALAPRIL+HIDROCLOROTIAZIDA ;C09BA
ENANGEL ;M02AA
ENANTYUM ;M01AE
ENBREL ;L04AB
ENCIALINA ;A01AB
ENDOBULIN ;J06BA
ENDOL;C10AX
ENDOMINA ;G03CA
ENDOMINA PLUS ;G03FB
ENDOREM ;V08CB
ENEAS ;C09BB
ENEMA CASEN ;A06AG
ENEMASCOP ;A06AD
ENERGINA ;A13AA
ENFRIESTOP ;R05X
ENGERIX B ;J07BC
ENISON ;L01CA
ENIT ;C09BB
ENOFOSFORINA ;A13AA
ENOTON ;A15AA
ENTACAPONA ;N04BX
ENTACT ;N06AB
ENTEROSILICONA ;A03AX
ENTEROWAS ;A07AX
ENTOCORD ;A07EA
EOSINA ;D08AX
EPANUTIN ;N03AB
EPANUTIN FENOBARBITONA;N03AB
EPAXAL ;J07BC
EPHYNAL ;A11HA
EPIDUO ;D10AD
EPIFEROL ;R03AC
EPILANTIN ;N03AB
EPILEXTER ;N03AF
EPILMAX ;N03AX
EPIMEDAC ;L01DB
EPINITRIL ;C01DA
EPIRUBICINA ;L01DB
EPISINDROME ;N03AB
EPISTAXOL ;B02BC
EPITELIPLAST ;D03AX
EPIVIR ;J05AF
EPIXIAN ;G04BC
EPLERENONA ;C03DA
EPOCELIN ;J01DD
EPOGAM ;D11AX
EPOPEN ;B03XA
EPOPROSTENOL ;B01AC
EPORATIO;B03XA
EPREX ;B03XA
EPROSARTAN ;C09CA
EPROSARTAN/HIDROCLOROTIAZIDA ;C09DA
EPTADONE ;N07BC
EQUIDAN ;N03AB
EQUIFUSINA ;B05XA
EQUILIBRADA BRAUN ;B05XA
EQUIN ;G03CA
EQUIPAX;N03AX
ERADACIL ;J01MB
ERANTIN ;B03XA
ERBITUX ;L01XC
ERCAR ;L01XA
ERCEFURYL ;A07AA
ERFOLGAN ;C01CA
ERGAN ;A02BA
ERGODAVUR ;C04AE
ERGODILAT ;C04AE
ERIDOSIS ;D10AF
ERIFOSCIN ;J01RA
ERIPRODIN ;J01FA
ERITROGOBENS;J01FA
ERITROMICINA ESTEDI 250 MG 12 CAPSULAS;J01FA
ERITROVEINTE;J01FA
ERNODASA ;B01AD
ERVASIL ;A02AD
ERY MAX ;J01FA
ESBERIVEN ;C05CA
ESCANDINE ;C01CA
ESCARMINE ;M01AE
ESCILAN ;N06AB
ESCIMYLAN ;N06AB
ESCITALOPRAM ;N06AB
ESCLEBIN ;J01MA
ESCOPOLAMINA ;A04AD
ESENCIAL NATTERMANN ;A05BA
ESERTIA ;N06AB
ESIDREX ;C03AA
ESKAZINE ;N05AB
ESKAZOLE ;P02CA
ESMACEN ;R06AX
ESMERON ;M03AC
ESOMEPRAZOL ;A02BC
ESOMEX;A02BC
ESOTRAN ;G03CA
ESPALEV ;N03AX
ESPASMO CANULASA ;A09AA
ESPASMO CIBALGINA ;A03DB
ESPASMO DIGESTOMEN ;A09AA
ESPASMOFILM ;A02AG
ESPECTONA COMPOSITUM ;R03DB
ESPECTRAL BALSAMICO ;R05CZ
ESPECTRAL FTE ;R07AX
ESPECTRAL INY ;J01CA
ESPECTROSIRA INYECTABLE ;R05CZ
ESPIDIDOL ;M01AE
ESPIDIFEN ;M01AE
ESPIRONOLACTONA;C03DA
ESPLENOL ;A11AA
ESPONGOSTAN FILM ;B02BC
ESPRASONE ;G03CA
ESSAVENON ;C05BA
ESTABEL ;N06AB
ESTALIS ;G03FA
ESTALIS SEQUI;G03FB
ESTECINA ;J01MA
ESTERBIOL ;C10AD
ESTERICLEAN ;B05XA
ESTEROFUNDINA ;B05BB
ESTILSONA GOTAS;H02AB
ESTOMIL ;A02BC
ESTOMIL FLAS;A02BC
ESTRACOMB TTS ;G03FB
ESTRACYT ;L01XX
ESTRADERM MATRIX ;G03CA
ESTRADIOL ;G03CA
ESTRADOT;G03CA
ESTRAPATCH ;G03CA
ESTREPTO P H ;J01GB
ESTREPTOENTEROL ;A07AA
ESTREPTOKECTIL ;A07AX
ESTREPTOMICINA ;J01GA
ESTREPTORAL ;A07AX
ESTREPTOSIRUP ;A07AX
ESTROFFIK ;G03CA
ESTULIC;C02AC
ETALPHA ;A11CC
ETAMBUTOL ;J04AK
ETERMOL ANTITUSIVO ;R05FA
ETHRANE ;N01AB
ETHYOL ;V03AF
ETINILESTRADIOL/GESTODENO ;G03AA
ETINILESTRADIOL+CIPROTERONA ;G03HB
ETOMIDATO-LIPURO;N01AX
ETOPOSIDO ;L01CB
ETOSUXIMIDA ;N03AD
ETOXISCLEROL ;C05BB
ETRAMON ;D01AC
ETRAMON GINECOLOGICO ;G01AF
ETRO ;J01CA
ETRO BALSAMICO ;R07AX
ETRYNIT;C01DA
ETUMINA ;N05AH
EUCALYPTOSPIRINE;R05X
EUCOPROST ;G04CB
EUCREAS ;A10BD
EUDIGES ;A02BC
EUFILINA RETARD;R03DA
EUGLUCON;A10BB
EUGLUCON RETARD ;A10BB
EUGYNON ;G03AA
EULEXIN ;L02BB
EULITOP;C10AB
EULITOP RETARD ;C10AB
EUMINEX ;M01AB
EUMOTOL ;M01AB
EUPECLANIC ;J01CR
EUPEN ;J01CA
EUPEN BRONQUIAL ;R05CZ
EUPEPTINA ;A06AD
EUPNOL ;R02AA
EUPROTIN ;L03AA
EURADAL ;C07AB
EURARTESIM ;P01BF
EURAXIL ;P03AX
EURO NICATO ;C04AX
EUSKIN;D10AF
EUTIROX ;H03AA
EUZYMINA LISINA II GRADO ;A09AC
EVACUANTE BOHM ;A06AD
EVACUANTE LAINCO SIMPLE ;A06AD
EVACUOL ;A06AB
EVAGRIP ;J07BB
EVASPRIN ;M01AE
EVIANA ;G03FA
EVIANTRINA ;A02BA
EVIPLERA ;J05AR
EVISTA ;G03XC
EVITEX A ;A11CA
EVITEX A + E FUERTE ;A11JC
EVOLTRA ;L01BB
EVOPAD ;G03CA
EVRA ;G03AA
EXAPENIL MUCOLITICO ;J01CA
EXELON ;N06DA
EXEMESTANO ;L02BG
EXFORGE ;C09DB
EXFORGE HCT;C09DX
EXJADE ;V03AC
EXOCIN ;S01AX
EXODREN ;A16AX
EXOLISE ;A16AX
EXOREX ;D05AA
EXOSURF NEONATAL ;R07AA
EXPAFUSIN ;B05AA
EXTAVIA ;L03AB
EXTRACTO CURCUMA ;A05AX
EXTRACTO ECHINACEA ;V03AX
EXTRACTO HARPAGOFITO ;M09AX
EXTRACTO HYPERICUM PERFORATUM ;N06BX
EXTRACTO PASIFLORA ;N05CM
EXTRACTO VALERIANA ;N05CM
EXTRANEAL ;B05DA
EXTRAPLUS GEL ;M02AA
EXTUR ;C03BA
EXTUR RETARD ;C03BA
EXUBERA ;A10AF
EXXIV ;M01AH
EYE STREAM BAÑO OCULAR ;S01XA
EZETROL;C10AX
EZOR ;A06AB
FABRAZYME ;A16AB
FABROVEN ;C05CA
FABROVEN TOPICO ;C05CA
FACILIT ;M04AA
FACTOPAN ;M01AE
FACTOR IX ;B02BD
FACTOR IX/X P ;B02BD
FACTOR VIII HT ;B02BD
FAGASTRIL;A02BA
FAGODOL ;N03AX
FAGOLITOS RENAL ;G04BC
FAGUS ;A02BA
FALAGAN ;A08AA
FALCOL ;M01AB
FALCOL DIFUCREM ;M02AA
FALIZAL ;B01AC
FALTIUM ;G03XX
FAMCICLOVIR;J05AB
FAMOCICLUM ;A02BA
FAMOTIDINA ;A02BA
FAMULCER ;A02BA
FAMVIR ;J05AB
FANAXAL ;N01AH
FANHDI ;B02BD
FANOSIN ;A02BA
FANOX ;A02BA
FARESTON ;L02BA
FARINDOL ;R02AA
FARINGENILO ;R02AD
FARINGESIC;R02AA
FARLUTAL ;L02AB
FARLUTAL DEPOT ;L02AB
FARMACNE ;D10BA
FARMACOLA ;A13AA
FARMACROM NASAL ;R01AC
FARMADIURIL ;C03CA
FARMALCOHOL ;D08AX
FARMAPEN ;J01CE
FARMAPROINA ;J01CE
FARMASUL TISANA ;A06AB
FARMIBLASTINA ;L01DB
FARMORUBICINA;L01DB
FARNA FDG ;V09IX
FARNIDASA ;A13AA
FASLODEX ;L02BA
FASPIC ;M01AE
FASTUM ;M01AE
FASTUM TOPICO;M02AA
FASTURTEC ;V03AF
FAVE DE FUCA;A06AB
FAVILAX ;A06AB
FAZOPLEX ;J01DB
FDG SCAN ;V09IX
FDGCADPET;V09IX
FEBRANINE CAFEINA ;N02BE
FEBRECTAL ;N02BE
FEIBA ;B02BD
FEIBA IMMUNO TIM ;B02BD
FELDEGEL ;M02AA
FELDENE ;M01AC
FELDENE FLAS;M01AC
FELIBEN;N02AE
FELIXENE ;J01MA
FELODIPINO ;C08CA
FEMAPRIN ;M01AE
FEMARA ;L02BG
FEMIDOL ;M01AE
FEMINALIN ;M01AE
FEMIPLANTE;G02CX
FENAMPICIN;J01XX
FENDIVIA ;N02AB
FENDRIX ;J07BC
FENERGAN EXPECTORANTE ;R05CA
FENERGAN TOPICO ;D04AA
FENILEFRINA LLORENS ;S01FB
FENISTIL ;R06AB
FENISTIL EMULSION ;D04AA
FENITOINA ;C01BB
FENIVIR ;D06BB
FENOFIBRATO ;C10AB
FENOMAS ;M01AE
FENSEL ;C08CA
FENTANEST ;N01AH
FENTANILO ;N02AB
FEPALITAN ;C05CX
FEPARIL GEL ;C05BX
FERBISOL ;B03AA
FERINJECT ;B03AC
FERIV ;B03AC
FERLASIN ;A13AA
FERO GRADUMET;B03AA
FERPAN ;M01AB
FERPLEX;B03AB
FERRINILO ;B03AB
FERRIPROX ;V03AC
FERRISELTZ;V08CA
FERRITINA PRODES;B03AB
FERRO SANOL ;B03AA
FERRO SEMAR ;B03AA
FERROCE LEO ;B03AA
FERROCOBAN B12 ;B03AE
FERROCUR;B03AB
FERROPROTINA ;B03AB
FERRUM SANDOZ;B03AA
FERTINORM ;G03GA
FEXAMIN ;M01AB
FEXION ;G04BE
FEXOFENADINA;R06AX
FHERBOLICO ;A14AB
FIACIN ;M01BA
FIBORAN ;C01BB
FIBRAGUAR ;A10BX
FIBRALAX ;A06AC
FIBRAMUCIL ;A06AC
FIBROCID ;C10AX
FIBRODERM ;D11AX
FIDESBIOTIC SIMPLE ;J01CA
FIDESTONIC ;A15AA
FIDIUM ;N07CA
FIEDOSIN ;M01AE
FILANTOR ;C03CA
FILARCIDAN;P02CB
FILOKLIN ;J01DB
FIMIZINA ;J01XX
FINACEA ;D10AX
FINALGON ;M02AX
FINARID ;G04CB
FINASTERIDA ;G04CB
FINEDAL ;A08AA
FINEGOSAN ;J01AA
FIORINAL ;N02BA
FIORINAL CODEINA RECTAL ;N02BE
FIORINAL SANDOZ RECTAL;N02BE
FIRAZYR ;C01EB
FISIFAX ;C04AE
FISIOBIL ;A05AX
FISIOGASTROL ;A03FA
FISIOLOGICA GIFRER 0.9% 32 FRASCOS 5 ML;R01AX
FISIOLOGICA ISOT NAV 0.9% 1 AMPOLLA 10 ML;B05XA
FISIOLOGICO BAXTER 0.9% 50 BOLSAS 50 ML CLEAR FLEX;B05BB
FISIOLOGICO BETAMADRILEÑ 0.9% SOLUCION 30 ML;R01AX
FISIOLOGICO BIEFFE M 0.9% 50 ML;B05XA
FISIOLOGICO BRAUN 0.9% 1 AMPOLLA 5 ML;V07AB
FISIOLOGICO BRAUN 0.9% 10 FRASCOS PLASTICO 1000 ML;B05BB
FISIOLOGICO FFF 0.9% SOLUCION 30 ML;R01AX
FISIOLOGICO FFF INYECT 0.9% 1 AMPOLLA 5 ML;V07AB
FISIOLOGICO FRESENIUS KABI 0.9% 20 FRASCOS 250 ML (100 ML SOLUCION);B05BB
FISIOLOGICO HAYEM BIEFFE 0.9% FRASCO 250 ML;B05XA
FISIOLOGICO ISOT ORRAVAN 1 AMPOLLA 5 CC;V07AB
FISIOLOGICO MEIN 0.9% 500 ML 10 FRAS;B05XA
FISIOLOGICO MEIN 0.9% FRASCO 100 ML;B05BB
FISIOLOGICO NEUSC 0.9% SOLUCION 60 ML;R01AX
FISIOLOGICO ORRAVAN 0.9% INSTIL NASAL 50 ML;R01AX
FISIOLOGICO ORRAVAN INY 0.9% 1 AMPOLLA 10 ML;V07AB
FISIOLOGICO PEREZ GIMENE 0.9% AMPOLLA 10 ML;B05XA
FISIOLOGICO SERRA PAMIES 0.9% AMPOLLA 10 ML;V07AB
FISIOLOGICO VITULIA 0.9% FRASCO 100 ML;B05XA
FISIOPEN ;J01CA
FITOCREM APOSITO ;D09AA
FITOGYN ;G02CX
FITOKEY GINKGO FORTE;N06DX
FITOLADIUS ;G02CX
FITOSVELT ;A16AX
FIXCA ;A04AA
FLAGYL INFUSION ;J01XD
FLAGYL ORAL ;P01AB
FLAGYL VAGINAL ;G01AF
FLAMMAZINE ;D06BA
FLATORIL ;A03FA
FLAVODREI ;G02CX
FLAVOSUL ;G02CX
FLAXEN ;N06AX
FLEBESIDE ;C05CA
FLEBO STOP ;C03AX
FLEBOBAG GLUCOSA ;B05BA
FLEBOBAG GLUCOSALINA ;B05BB
FLEBOBAG RINGER LACTATO ;B05BB
FLEBOBAG SALINA FISIOLOGICA ;B05BB
FLEBOFLEX GLUCOSA ;B05BA
FLEBOFLEX GLUCOSALINA ;B05BB
FLEBOFLEX RINGER LACTADO ;B05BB
FLEBOFLEX SALINA FISIOLOGICA ;B05BB
FLEBOGAMMA ;J06BA
FLEBOGAMMA DIF ;J06BA
FLEBOGAMMA IV ;J06BA
FLEBOPLAST GLUCOSA ;B05BA
FLEBOPLAST GLUCOSALINA ;B05BB
FLEBOPLAST LEVULOSA ;B05BA
FLEBOPLAST SALINA FISIOLOGICA ;B05BB
FLEBOSTASIN RETARD;C05CX
FLERUDIN ;N07CA
FLEXAGIL ;M03BA
FLEXBUMIN ;B05AA
FLEXIDOL ;M02AA
FLEXRESAN ;D10BA
FLEZOL FLAS ;N02CC
FLICUM ;P02CA
FLIXONASE NASAL ;R01AD
FLIXOTIDE ;R03BA
FLIXOTIDE ACCUHALER ;R03BA
FLODERMOL ;D07CC
FLOGOPROFEN ;M02AA
FLOGOTER;M01AB
FLOGOTER RETARD ;M01AB
FLOLAN ;B01AC
FLUARIX ;J07BB
FLUBASON ;D07AC
FLUBIOTIC ;J01CA
FLUCIS ;V09IX
FLUCONAZOL ;J02AC
FLUDAN CODEINA ;R05DA
FLUDARABINA ;L01BB
FLUDESOXIGLUCOSA ;V09IX
FLUDETEN ;N02BE
FLUDREN ;R05DA
FLUDRONEF LOCION ;D07CC
FLUDRONEF OFTALMICO ;S01CA
FLUDRONEF POMADA;D07CC
FLUENZ ;J07BB
FLUGEN ;S01CA
FLUIDASA ;R06AC
FLUIDIN ;R05CA
FLUIDIN MUCOLITICO ;R05CB
FLUIMUCIL ;R05CB
FLUIMUCIL ANTIBIOTICO;R05CZ
FLUIMUCIL COMPLEX ;R05X
FLUIMUCIL FORTE ;R05CB
FLUINOL SPRAY NASAL ACUOSO ;R01AD
FLUMAZENIL B ;V03AB
FLUMAZENILO ;V03AB
FLUMIL ;R05CB
FLUMIL ANTIBIOTICO ;R05CZ
FLUMIL ANTIDOTO ;V03AB
FLUMIL FORTE ;R05CB
FLUMIL INFANTIL;R05CB
FLUMONAC ;R05CB
FLUNUTRAC ;D07AC
FLUOCID FORTE ;D07AC
FLUODERMO FUERTE;D07AC
FLUODONTYL ;A01AA
FLUODOS ;V09IX
FLUOGRAF ;V09IX
FLUOLIX ;A06AG
FLUOR KIN ;A01AA
FLUOR LACER ;A01AA
FLUORAN;A01AA
FLUORESCEINA OCULOS ;S01JA
FLUORO URACIL ;L01BC
FLUOROURACILO ;L01BC
FLUORSCAN ;V09IX
FLUOTRACER ;V09IX
FLUOXETINA ;N06AB
FLURPAX ;N07CA
FLUSEMIDE ;C08CA
FLUSOLGEN ;D07AC
FLUSONAL ;R03BA
FLUSONAL ACCUHALER;R03BA
FLUSPORAN ;D01AC
FLUTAMIDA ;L02BB
FLUTANDRONA ;L02BB
FLUTENAL ;D07AC
FLUTENAL FTE ;D07AC
FLUTENAL GENTAMICINA ;D07CC
FLUTENAL PEDI;D07AC
FLUTENAL SALI ;D07XC
FLUTICASONA ;R01AD
FLUTICREM ;D07AC
FLUTOX ;R05DB
FLUVASTATINA;C10AA
FLUVOXACIC ;N06AB
FLUVOXAMINA ;N06AB
FLUXAL ;N02BA
FLUZIMAL ;B01AC
FML ;S01BA
FML FORTE ;S01BA
FML NEO ;S01CA
FOLAXIN ;V03AF
FOLEVO ;V03AF
FOLI DOCE ;B03BA
FOLIDAN IV ;V03AF
FOLIFERRON ;B03AD
FOLILUTEINA ;G03FB
FOLINATO CALCICO ;V03AF
FOLITABS ;D11AX
FOMENE ;G02CC
FONGAMIL ;D01AC
FONGAMIL VAGINAL ;G01AF
FONGEAL CREMA;D01AE
FONGEAL COMP;D01BA
FONITAR CHAMPU ;D11AX
FORADIL ;R03AC
FORADIL AEROLIZER ;R03AC
FORADIL NEO ;R03AC
FORANE ;N01AB
FORCEMIL ;A11JC
FORDIURAN ;C03CA
FORLAX;A06AD
FORMATRIS NOVOLIZER ;R03AC
FORMODUAL ;R03AK
FORMOTEROL ;R03AC
FORMULAEXPEC ;R05CA
FORMULATUS ;R05DA
FORSTEO ;H05AA
FORTAM ;J01DD
FORTASEC ;A07DA
FORTECORTIN;H02AB
FORTICAL ;A12AA
FORTIGENO;A13AA
FORTZAAR ;C09DA
FORUNCULONE ;D06CA
FORVEY ;N02CC
FORVITEN FUERTE;A11JC
FOSAMAX ;M05BA
FOSAMAX SEMANAL ;M05BA
FOSATUR NASAL;H05BA
FOSAVANCE;M05BB
FOSCAVIR ;J05AD
FOSFARGINIL ;A05BA
FOSFATO DE FLUDARABINA ;L01BB
FOSFATO DIPOTASICO ;B05XA
FOSFATO MONOSODICO;B05XA
FOSFOCINA ;J01XX
FOSFODEXA ;S01BA
FOSFOEVAC ;A06AD
FOSFOMICINA TROMETAMOL ;J01XX
FOSFOR ;A13AA
FOSFOSODA ;A06AD
FOSGLUTEN REFORZADO;A13AA
FOSINIL ;C09AA
FOSINOPRIL ;C09AA
FOSINOPRIL/HIDROCLOROTIAZIDA ;C09BA
FOSITENS ;C09AA
FOSITENS PLUS ;C09BA
FOSLAINCO ;A06AD
FOSLIP VASCULAR ;C04AX
FOSRENOL ;V03AE
FOSTER ;R03AK
FOSTIPUR ;G03GA
FRADICILINA;J01CE
FRAGMIN ;B01AB
FRAXIPARINA ;B01AB
FREAMINE HBC ;B05BA
FREEFLEX CLORURO SODICO ;B05BB
FREEFLEX GLUCOSA ;B05BA
FREEFLEX GLUCOSALINA ;B05BB
FREEFLEX RINGER LACTATO ;B05BB
FREMET ;A02BA
FRENADOL COMPLEX ;R05X
FRENADOL HOT LEMON;R05X
FRENADOL JUNIOR ;R05X
FRENADOL NARANJA;N02BE
FRENADOL PS ;R05X
FRENAGAR;R02AA
FRENAGIAL ;N02BE
FRENAL ;R03BC
FRENAL COMPOSITUM ;R03AK
FRENASAL ;R01AA
FRENASELTZ ;R05X
FRENATERMIN ;M01AE
FRENATUS ;R05DA
FRENATUS INFANTIL ;R05DA
FRENESPAN ;A03ED
FRENESPAN RECTAL ;A03ED
FRIALGINA;R05X
FRICOLD ;R05X
FRIMUCE ;R05CB
FRINOVA ;R06AD
FRIRESP ;R01AA
FRISABEL LINIMENTO;M02AX
FRISPEC ;R05CA
FRITUSIL ;R05DA
FROBEN ;M01AE
FROBEN RETARD ;M01AE
FRONE ;L03AB
FROSINOR ;N06AB
FRUSAMIL ;C03EB
FRUTOSEL ;A02AH
FUCIBET ;D07CC
FUCIDINE ;J01XC
FUCIDINE H ;D07CA
FUCIDINE OFTALMICO ;S01AA
FUCIDINE TOPICO ;D06AX
FUCITHALMIC ;S01AA
FULCIN ;D01BA
FULGIUM ;M02AA
FULIXAN;D07AC
FULVICINA ;D01BA
FUNCENAL ;D01AC
FUNGANILINE ;A01AB
FUNGAREST ;J02AB
FUNGAREST TOPICO ;D01AC
FUNGAREST VAGINAL ;G01AF
FUNGICARE ;D01BA
FUNGIDERMO ;D01AC
FUNGINAZOL ;D01AC
FUNGISDIN ;D01AC
FUNGISDIN ORAL ;A01AB
FUNGIZONA ENDOVENOSA ;J02AA
FUNGO ;J02AB
FUNGOWAS;D01AE
FUNGOWAS VAGINAL ;G01AX
FUNGUSOL ;D01AE
FURACIN ;D08AF
FURANTOINA ;J01XE
FUROBACTINA ;J01XE
FUROSEMIDA ;C03CA
FUSALOYOS ;R02AB
FUTURAN;C09CA
FUTURAN PLUS;C09DA
FUZEON ;J05AX
FYBOGEL ;A06AC
G TRIL ;M03BA
GABAPENTIN ;N03AX
GABATUR ;N03AX
GABEPINA ;N03AX
GABITRIL ;N03AG
GABMYLAN ;N03AX
GABONEURIL COMPLEX FORTE ;N03AB
GABORIL SEDATIVO ;N05CX
GABRORAL ;A07AA
GADIONAL ;A13AA
GADOGRAF ;V08CA
GADOPENTETATO DE DIMEGLUMINA CURAGITA ;V08CA
GADOVIST;V08CA
GALANTAMINA;N06DA
GALAXDAR ;M01AX
GALDAR ;L02BG
GALNORA ;N06DA
GALOTAM ;J01CR
GALUSAN ;J01MB
GALVUS ;A10BH
GAMADIABET ;A10BB
GAMALATE B6 ;N06BX
GAMBROSOL TRIO ;B05DA
GAMEVAL ;A13AA
GAMMA ANTI D;J06BB
GAMMA ANTITETANOS;J06BB
GAMMA GLOB ANTI RH ;J06BB
GAMMA GLOB ANTIAL ;J06BA
GAMMA GLOB ANTIHEPA B ;J06BB
GAMMA GLOB ANTIPAROT ;J06BB
GAMMA GLOB ANTIPER ;J06BB
GAMMA GLOB ANTIRUB ;J06BB
GAMMA GLOB ANTITE ;J06BB
GAMMA GLOB HUBB OFTALMIC ;J06BA
GAMMA GLOB HUBBER ;J06BA
GAMMA VENIN ;J06BA
GAMMABION ;J06BA
GAMMAGARD ;J06BA
GAMMAGLOB ANTI D ;J06BB
GAMMAGLOB ANTIHEPATITIS B ;J06BB
GAMMAGLOB ANTITE ;J06BB
GAMMAGLOB GRIFOLS ;J06BA
GAMMAGLOBULINA PASTEUR ;J06BA
GAMMALONGA VARICELA ;J06BB
GANFORT ;S01ED
GARANIL ;C09AA
GARDASIL ;J07BM
GARDENAL ;N03AA
GARGARIL ;R02AA
GARIA ;J01DD
GARIA POMADA;D07AC
GARPON ;R06AE
GARTRICIN ;R02AD
GARYDOL ;R02AA
GASTRIBIEN ;A02AD
GASTRIMUT ;A02BC
GASTRION ;A02BA
GASTRO GOBENS ;A03FA
GASTRO H2;A02BA
GASTRO ROGER SEDO ;A02AD
GASTROALGINE;A02AX
GASTRODENOL;A02BX
GASTRODOMINA;A02BA
GASTROFRENAL;A07EB
GASTROFUSINA ;B05XA
GASTROGLUTAL ;A02AX
GASTROGRAFIN ;V08AA
GASTROLUX ;V08AA
GASTROMOL ;A02AD
GASTROPEACHE ;A02AD
GASTROPEN ;A02BA
GASTROSAN ;A02AD
GASTROSINDROM;A03FA
GASTROZEPIN ;A02BX
GATINAR ;A06AD
GAVISCON ;A02AH
"GAVISCON ""FORTE""";A02BX
"GAVISCON ""NORMAL"" ";A02BX
GEFARNIL ;A02BX
GELAFUNDINA ;B05AA
GELBRONQUIAL;R05DA
GELCEN ;M02AB
GELIDINA;D07AC
GELOALUMIN;A02AF
GELOBUFEN ;M02AA
GELOCATIL;N02BE
GELOCATIL GRIPE FENILEFRINA ;R05X
"GELOCATIL GRIPE FENILEFRINA ""FORTE"" ";R05X
GELOCATIL GRIPE PSEUDOEFEDRINA ;R05X
GELODROX;A02AD
GELODUAL ;A02AD
GELOFENO ;M01AE
GELOFUSINA ;B05AA
GELOPIRIL ;M01AE
GELOPLASMA ;B05AA
GELOSIM ;A02AF
GELOTRADOL ;N02AX
GELOTRICAR ;A02AH
GELOTRISIN ;A02AD
GELY LANZAS ;D02AC
GEMCITABINA ;L01BC
GEMFIBROZILO ;C10AB
GEMZAR ;L01BC
GENCEFAL ;J01DB
GENOGRIS ;N06BX
GENOPTIC ;S01AA
GENOTONORM ;H01AC
GENOXAL;L01AA
GENPROL ;N06AB
GENSASMOL ;R03CC
GENTA GOBENS ;J01GB
GENTALLORENS ;S01AA
GENTALODINA ;J01GB
GENTAMEDICAL ;J01GB
GENTAMICINA IV ;J01GB
GENTAMIN ;J01GB
GENTAMIVAL ;J01GB
GENTAMIVAL TOPICA ;D06AX
GENTAMORGENS;J01GB
GENTICINA  TOPICO;D06AX
GENTICINA VIAL ;J01GB
GENTISUM VIAL;J01GB
GENTOS ;R05DB
GENURAT ;G04AK
GEODON ;N05AE
GEOPEN ;J01CA
GEPEX ;L02BG
GERBIN;M01AB
GERBIN DIFUCREM ;M02AA
GEREF ;H01AC
GERICIN ;C08CA
GERIMAX ;A13AA
GERIPLEX ;A11AA
GERNIDE ;G04CX
GESTAMATER ;A11AA
GESTANON ;G03DC
GESTINYL ;G03AA
GEVRAL PROTEINA ;A11AA
GEVRAMYCIN ;J01GB
GEVRAMYCIN TOPICA ;D06AX
GHRH FERRING ;V04CD
GILENYA ;L04AA
GILURYTMAL ;C01BA
GINE CANESTEN ;G01AF
GINE MICETAL ;G01AF
GINE ZALAIN ;G01AF
GINECRIN DEPOT ;L02AE
GINEDERMOFIX VAGINAL ;G01AF
GINEFEN ;G01AF
GINEJUVENT ;G01AD
GINGILONE ;A01AB
GINKGO;N06DX
GINKGO BILOBA ;N06DX
GINKGOLD;N06DX
GINKOKAN ;N06DX
GINSANA ;A13AA
GINSENG ;A13AA
GIROFLOX ;J01MA
GLAMIN ;B05BA
GLAUCONIDE ;S01EC
GLAUCOSTAT ;S01EB
GLAUDROPS ;S01EA
GLEFOS ;A02BB
GLIADEL ;L01AD
GLIBENESE ;A10BB
GLICERINA BIDESTILAD ;D02AC
GLICERINA SUPOSITORIOS;A06AX
GLICEROL SUPOSITORIOS ;A06AX
GLICEROL VILARDELL ;A06AX
GLICEROTENS ;S01EX
GLICLAZIDA ;A10BB
GLIMEPIRIDA ;A10BB
GLIOLAN ;L01XD
GLITRIM ;A10BB
GLIVEC ;L01XE
GLIZOLAN ;M01AX
GLOBOFIL ;R06AX
GLOBUCE ;J01MA
GLOBULINA ANTI RH ;J06BB
GLOBUMAN;J06BA
GLOGAMA ;J06BA
GLOGAMA ANTIALERGICA ;J06BA
